|MJD|counts_target|counts_bkg|counts_ref|count_median|folder|path_file
0|59410.6416883|50770.30595649278|229807.97534986062|25103.886129667313|701.0|210715B|./210715B/barnards/210715B_barnards_0001.fit
1|59410.6417856|50990.410355235595|230132.19063006333|25928.92868871006|701.0|210715B|./210715B/barnards/210715B_barnards_0002.fit
2|59410.6442658|51320.57141837166|227310.04798004442|24563.937884418963|693.0|210715B|./210715B/barnards/210715B_barnards_0003.fit
3|59410.6443631|51241.72960465803|227143.6932579514|26158.657061266887|693.0|210715B|./210715B/barnards/210715B_barnards_0004.fit
4|59410.6444603|51108.88756660529|227339.52133200667|25483.395895608322|693.0|210715B|./210715B/barnards/210715B_barnards_0005.fit
5|59410.6445575|51331.54808492196|227352.15901351388|26424.554850949673|694.0|210715B|./210715B/barnards/210715B_barnards_0006.fit
6|59410.6446548|51007.631043125526|227504.26405701583|25889.99483328982|693.0|210715B|./210715B/barnards/210715B_barnards_0007.fit
7|59410.644752|51367.28718586019|227091.94183273104|26260.699806598655|693.0|210715B|./210715B/barnards/210715B_barnards_0008.fit
8|59410.6448492|51196.30898551241|227130.41825438302|26044.720449825574|693.0|210715B|./210715B/barnards/210715B_barnards_0009.fit
9|59410.6449464|51565.90618985874|226750.9982544873|26536.507036366384|693.0|210715B|./210715B/barnards/210715B_barnards_0010.fit
10|59410.6450437|51158.99296329392|227100.075888391|26046.906480495294|693.0|210715B|./210715B/barnards/210715B_barnards_0011.fit
11|59410.6451409|51432.39819955075|227039.14969531773|26122.098852327326|693.0|210715B|./210715B/barnards/210715B_barnards_0012.fit
12|59410.6452381|51556.912748503324|227100.89128159633|25877.699767374026|692.0|210715B|./210715B/barnards/210715B_barnards_0013.fit
13|59410.6453353|51601.32557291011|226765.01506627214|26674.26563779448|692.0|210715B|./210715B/barnards/210715B_barnards_0014.fit
14|59410.6454325|51341.489998421835|226849.5594782311|26334.22896715181|692.0|210715B|./210715B/barnards/210715B_barnards_0015.fit
15|59410.6455298|51862.44166875357|227073.85401142482|25539.833272924297|692.0|210715B|./210715B/barnards/210715B_barnards_0016.fit
16|59410.645627|51254.06905710499|226982.39603054785|25623.00576370972|692.0|210715B|./210715B/barnards/210715B_barnards_0017.fit
17|59410.6457242|51468.41042641262|226759.9440096192|26350.034844899114|692.0|210715B|./210715B/barnards/210715B_barnards_0018.fit
18|59410.6458215|51396.92359622067|226657.94904695352|26024.212428240746|691.0|210715B|./210715B/barnards/210715B_barnards_0019.fit
19|59410.6459187|52269.79291423914|226106.0659908425|26688.50874378797|691.0|210715B|./210715B/barnards/210715B_barnards_0020.fit
20|59410.6460159|52171.20486949902|226158.00180528645|27070.753728292242|691.0|210715B|./210715B/barnards/210715B_barnards_0021.fit
21|59410.6461131|51722.45826625262|226569.39937411345|26018.368353489583|691.0|210715B|./210715B/barnards/210715B_barnards_0022.fit
22|59410.6462103|51530.58511908678|226247.37851387687|26631.150885670853|690.0|210715B|./210715B/barnards/210715B_barnards_0023.fit
23|59410.6463075|51737.81674248533|226138.45226519182|26314.25249913556|690.0|210715B|./210715B/barnards/210715B_barnards_0024.fit
24|59410.6464047|51772.48916781554|226413.97640464682|25713.220779590425|690.0|210715B|./210715B/barnards/210715B_barnards_0025.fit
25|59410.646502|52008.67310630035|226038.0236406405|26219.845059837506|690.0|210715B|./210715B/barnards/210715B_barnards_0026.fit
26|59410.6465992|51903.31302880979|226076.393281753|26338.466490500432|690.0|210715B|./210715B/barnards/210715B_barnards_0027.fit
27|59410.6466964|52007.87264511449|226000.64596101065|26466.82652811738|690.0|210715B|./210715B/barnards/210715B_barnards_0028.fit
28|59410.6467937|51787.98564212557|226290.43290333598|26096.96740187751|689.0|210715B|./210715B/barnards/210715B_barnards_0029.fit
29|59410.6468909|51825.46145839756|226151.39842564467|26073.136345562816|689.0|210715B|./210715B/barnards/210715B_barnards_0030.fit
30|59410.6469881|51590.963138526335|225794.20132509884|26848.589596908336|689.0|210715B|./210715B/barnards/210715B_barnards_0031.fit
31|59410.6470853|52039.15203296923|225893.04098174104|26323.086450918345|689.0|210715B|./210715B/barnards/210715B_barnards_0032.fit
32|59410.6471825|51558.16967723641|225908.99850658345|25903.67001272092|689.0|210715B|./210715B/barnards/210715B_barnards_0033.fit
33|59410.6472798|52190.19246049906|225564.2105911533|26094.06579611398|689.0|210715B|./210715B/barnards/210715B_barnards_0034.fit
34|59410.647377|51247.7425978347|225822.30916782477|26221.092803189153|689.0|210715B|./210715B/barnards/210715B_barnards_0035.fit
35|59410.6474742|52016.80278444319|225459.19783846545|26042.30711047168|688.0|210715B|./210715B/barnards/210715B_barnards_0036.fit
36|59410.6475714|51484.582434732874|225702.38870796433|26090.173151831317|688.0|210715B|./210715B/barnards/210715B_barnards_0037.fit
37|59410.6476687|52205.17348703294|225485.89306347322|26153.005179049098|688.0|210715B|./210715B/barnards/210715B_barnards_0038.fit
38|59410.6477659|51833.29624947789|225406.65834405774|25731.539069030812|687.0|210715B|./210715B/barnards/210715B_barnards_0039.fit
39|59410.6478631|51456.031161095685|225307.97188234897|26046.972497379553|687.0|210715B|./210715B/barnards/210715B_barnards_0040.fit
40|59410.6479603|52126.87254285911|225316.91381586617|25912.096587527776|687.0|210715B|./210715B/barnards/210715B_barnards_0041.fit
41|59410.6480575|52124.20344461684|225107.28542099547|26330.420990699087|687.0|210715B|./210715B/barnards/210715B_barnards_0042.fit
42|59410.6481547|51806.90416594647|225258.06314771797|26004.694853321067|687.0|210715B|./210715B/barnards/210715B_barnards_0043.fit
43|59410.648252|51442.84396370122|225519.84929685656|26017.255947526457|687.0|210715B|./210715B/barnards/210715B_barnards_0044.fit
44|59410.6483492|51448.15833603445|225213.18185816822|26059.3384672986|686.0|210715B|./210715B/barnards/210715B_barnards_0045.fit
45|59410.6484466|51754.047541297856|224946.00060725468|25915.357454773824|686.0|210715B|./210715B/barnards/210715B_barnards_0046.fit
46|59410.6485437|52401.065955338476|224820.99237384566|26893.189881073078|686.0|210715B|./210715B/barnards/210715B_barnards_0047.fit
47|59410.6486409|52148.09587567428|224987.6538251614|25891.904475567164|686.0|210715B|./210715B/barnards/210715B_barnards_0048.fit
48|59410.6487381|51559.8648971318|224748.99820916867|26191.424893164338|686.0|210715B|./210715B/barnards/210715B_barnards_0049.fit
49|59410.6488353|52194.961086660274|224776.46048920625|26102.87029719766|686.0|210715B|./210715B/barnards/210715B_barnards_0050.fit
50|59410.6489326|51980.75611411239|225027.40693947626|25957.78949019019|688.0|210715B|./210715B/barnards/210715B_barnards_0051.fit
51|59410.6490298|52010.33203853184|225592.4570721314|25555.198290220782|690.0|210715B|./210715B/barnards/210715B_barnards_0052.fit
52|59410.6491269|51524.48447083548|224844.504878522|26198.67398628409|687.0|210715B|./210715B/barnards/210715B_barnards_0053.fit
